GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00000,United States,1,All items,100,100,100,100,100,100,100,100,100,100,100,100
00000,United States,2,Goods,99.5,99.5,99.4,99.4,99.4,99.4,99.4,99.4,99.3,99.3,99.2,99.2
00000,United States,3,Services: Rents,100.9,100.9,101.3,101.3,101.1,101.2,101.1,101.1,101.3,101.3,101.4,101.4
00000,United States,4,Services: Other,100.1,100.1,100,100,100,100,100.1,100,100,99.9,99.9,100
01000,Alabama,1,All items,87.6,87.5,87.9,87.7,88.1,87.8,87.1,86.8,86.1,85.5,85.9,85.8
01000,Alabama,2,Goods,97.6,97.6,96.6,96.3,96.2,96,96.2,96.4,96.1,95.7,95.9,95.9
01000,Alabama,3,Services: Rents,63.9,63.7,63.8,63.1,64.4,63.6,63.8,62.8,63.1,63.1,61.8,61.9
01000,Alabama,4,Services: Other,93.6,93.2,93.2,93.5,93.7,94,93.3,93.3,91.8,90.4,90.3,90.3
02000,Alaska,1,All items,106.9,106.9,105.5,105.1,105.4,104.9,106.3,105.5,105.7,105.9,105.7,105.1
02000,Alaska,2,Goods,102.8,102.8,102.5,101.9,101.3,101.1,101.3,101.7,101.8,102.2,102.3,102.3
02000,Alaska,3,Services: Rents,133.8,139.3,133,136.8,141.9,138.9,144.4,139.4,137.4,132,125.9,122.3
02000,Alaska,4,Services: Other,101.8,100.4,99.2,98.2,97.3,97.2,96.7,95.8,96.9,98.5,99.1,99.1
04000,Arizona,1,All items,100.6,100.1,98.6,97.9,97.1,96.5,96,96.1,95.8,95.9,96.4,96.3
04000,Arizona,2,Goods,101.2,101,100.6,99.4,98.6,98.1,97.5,96.8,95.7,94.8,94.9,94.8
04000,Arizona,3,Services: Rents,102.6,100.3,95.1,94.2,93.8,91.8,91.4,91.4,91.7,92.9,94.3,94.1
04000,Arizona,4,Services: Other,98.8,98.9,98.2,98.2,97.4,97.4,97.3,98.5,98.9,99.5,99.7,99.7
05000,Arkansas,1,All items,86.9,86.6,87.7,87.6,87.8,87.8,86.9,87.4,86.8,85.7,84.7,84.7
05000,Arkansas,2,Goods,96.6,96.7,95.7,95.2,94.9,94.6,94.7,94.9,94.8,94.6,94.7,94.7
05000,Arkansas,3,Services: Rents,62.4,61.6,63.2,63.1,63.2,63.2,62.9,63.9,63.7,62,60.8,60.9
05000,Arkansas,4,Services: Other,92.5,92.2,92.4,92.9,93.5,94.1,93.3,93.4,92.4,91.1,91.1,91
06000,California,1,All items,113.1,112.9,113.6,113.4,112.9,113.1,113.7,113.8,114.7,115.8,116.2,116.4
06000,California,2,Goods,103.5,103.2,103,103,103.1,103.7,103.7,103.8,103.9,104.9,104.8,104.9
06000,California,3,Services: Rents,154.6,153.7,150.9,149.1,147.5,145.8,147.4,147.3,148.2,150.5,152.6,153.6
06000,California,4,Services: Other,105,105.3,105.6,105.7,105.6,106,106.6,107,107.1,107.9,108.3,108.3
08000,Colorado,1,All items,100.4,101.1,100.9,101.4,101.1,102.1,102,102.3,101.7,101.6,101.3,101.9
